year,depth_to_water,longitude,latitude
2022,102.51,-118.41792,34.01219
2022,102.84,-118.41792,34.01219
2022,102.78,-118.41792,34.01219
2022,103.15,-118.41792,34.01219
2022,103.16,-118.41792,34.01219
2022,99.75,-118.41792,34.01219
2022,99.18,-118.41792,34.01219
2022,97.52,-118.41792,34.01219
2022,95.01,-118.41792,34.01219
2023,92.9,-118.41792,34.01219
2023,87.8,-118.41792,34.01219
2023,86.26,-118.41792,34.01219
2023,82.66,-118.41792,34.01219
2023,81.45,-118.41792,34.01219
2023,78.28,-118.41792,34.01219
2022,102.91,-118.41791,34.01217
2022,102.12,-118.41791,34.01217
2022,103.35,-118.41791,34.01217
2022,102.7,-118.41791,34.01217
2022,102.26,-118.41791,34.01217
2022,103.01,-118.41791,34.01217
2022,103.45,-118.41791,34.01217
2022,102.18,-118.41791,34.01217
2022,102.59,-118.41791,34.01217
2022,102.22,-118.41791,34.01217
2022,100.83,-118.41791,34.01217
2022,99.51,-118.41791,34.01217
2023,94.61,-118.41791,34.01217
2023,88.81,-118.41791,34.01217
2023,87.55,-118.41791,34.01217
2023,83.68,-118.41791,34.01217
2023,82.24,-118.41791,34.01217
2023,79.15,-118.41791,34.01217
2022,100.44,-118.41827,34.01269
2022,100.79,-118.41827,34.01269
2022,101.09,-118.41827,34.01269
2022,101.39,-118.41827,34.01269
2022,101.8,-118.41827,34.01269
2022,101.66,-118.41827,34.01269
2022,102.14,-118.41827,34.01269
2022,102.13,-118.41827,34.01269
2022,97.89,-118.41827,34.01269
2023,91.48,-118.41827,34.01269
2023,84.39,-118.41827,34.01269
2023,80.8,-118.41827,34.01269
2023,79.41,-118.41827,34.01269
2023,76.44,-118.41827,34.01269
2022,102.26,-118.41846,34.01292
2022,102.63,-118.41846,34.01292
2022,102.9,-118.41846,34.01292
2022,103.3,-118.41846,34.01292
2022,103.61,-118.41846,34.01292
2022,103.57,-118.41846,34.01292
2022,104.06,-118.41846,34.01292
2022,104.05,-118.41846,34.01292
2022,100.31,-118.41846,34.01292
2022,99.75,-118.41846,34.01292
